Information Assurance Security 1 | Final Project,,,,,,,,,
DormDash | DASH,,,,,,,,,
No.,Asset,Threat,Vulnerability,Likelihood,Impact,Risk Score,Security Control Mechanism,Control Type,Residual Risk
1,Web Server,Web server overload,"No rate limiting, outdated server software",3,4,12,,,
2,Database Server,Database DoS,"Poor query throttling, Outdated DB software, weak access control",2,5,10,,,
3,Email Servers,Email server flooding(SPAM),"Open relay, weak spam filters",3,3,9,,,
4,Database Server Backup,Backup corruption,"Unencrypted backups, lack of integrity checks",2,5,10,,,
5,Administrator/Moderators’s PC,Credential spoofing,"Weak credentials, lack of 2FA, malware endpoint",4,4,16,,,
6,Customer’s Personal Information,Data Theft,"Weak credentials, improper access controls",4,5,20,,,
7,Product Description Information,Content Modification,"Unauthorized access  to DB, weak authentication",2,3,6,,,
8,Order Records,Order record manipulation,"Insecure APIs. lack of transaction validation, weak permissions",3,5,15,,,
9,Transaction Records,Transaction tampering,"Insufficient input validation, weak DB controls",3,5,15,,,
10,Audit Logs (System),Log deletion,"Log stored on the same system, no immutable logging, weak access control",2,4,8,,,
11,Business Data,Data Leakage,"Misconfiugured rules, unencypted data, insider threats",3,5,15,,,
12,API Keys,API key modification,"Hardcoded keys, improper handling",3,5,15,,,
13,Admin Accounts,Privilege escalation,"Excessive privileges, unpatched software, weak authentication",3,5,15,,,
14,Moderator Accounts,Unauthorized privilege increase,"Weak password, insufficient audit, insecure admin panel",3,4,12,,,
15,Customer Accounts,Privilege escalation,"Insecure session management, weak authentication",3,5,15,,,
16,Payment Gateway,Payment system DOS,"No rate limiting, unprotected endpoints",2,5,10,,,
17,Dockerfile (System Configuration),Configuration tampering,"Hardcoded secrets, weak file permissions",2,4,8,,,
18,Docker Container,Container breakout,"Privileged containers, unpatched images, vulnerable kernel",2,5,10,,,
19,Docker Image,Image poisoning,"Unverified images, weak signing",2,5,10,,,
20,MySQL Database System,Data exposure,Compromised System Integrity,3,5,15,,,
21,Database Schema,Schema modification,"Insufficient DB permissions, weak audit controls",2,5,10,,,
22,Application Source Code,Source code tampering,"Public repository exposure, weak access controls",2,5,10,,,
23,Source Code Frameworks and Libraries,Supply chain attack,"Using unverified packages, outdated dependencies",2,5,10,,,
24,Product Content Repository,Content data manipulation,"Weak authentication, no integrity verification",2,4,8,,,
